name,score
Joseph Carr Reveliste Cinsault 2013 ,0.7
Carol Shelton Roche TBredi 2016 ,0.696969697
Finca Bolgheri Pinot Grigio 2018 ,0.766666667
Domaine de Cristict Chardonnay 2016 ,0.842105263
Domaine Dujac Fils &amp; Pere Chambolle Rouge 2013 ,0.732824427
Tenuta Sant'Antonio Barolo Cannubi (1.5 Liter Magnum) 2015 ,0.765217391
Cavit Alta Luna Pinot Noir 2016 ,0.848484848
Philipponnat Royale Reserve 2007 ,0.878787879
Bodegas Lan Culmenet Chardonnay 2017 ,0.741935484
Neil Ellis Groeniel Rose ,0.595744681
Domaine le Couroulu Chigny Tufferster Altenberg Grand Cru 2014 ,0.610169492
Chateau Corbin (Futures Pre-Sale) 2016 ,1
Belle Ambiance Rose 2016 ,0.814814815
Domaine Combier Centenairel Savigny Les Beaune Blanc 2015 ,0.828828829
Kunde Century Vines Zinfandel 2016 ,0.871794872
Blue Rock Beckstoffer To Kalon Cabernet Sauvignon 2001 ,0.862385321
Terredore Estate GSM 2017 ,0.705882353
Domaine Comtesse de lubius Oloroso Sherry ,0.581395349
Vina Cobos Bramare Uconaneve Vineyard Zinfandel 2015 ,0.767676768
MELI Dueno di Arcana Colchegliano 2016 ,0.684210526
Benjamin Romeo Con Hermouth Rouge (1.5 Liter Magnum) 2015 ,0.684684685
Lavau Charlotte 2015 ,0.75
Frog's Leap Pink 2015 ,0.954545455
Peay Vineyards Fairyne Pinot Noir 2014 ,0.823529412
Catena Gavi Blanc 2013 ,0.745098039
Candoni Prosecco Brut ,0.871794872
Chasseur Sauvignon Blanc 2017 ,0.877192982
Sklmann Vineyards Estate Zinfandel 2012 ,0.833333333
Domaine Joseph Kanitieres 2015 ,0.701754386
Villa Portuga Pinot Noir 2016 ,0.842105263
VieVie de Urzain Old Vine Grenache 2014 ,0.714285714
WildAire Open Claim Vineyard Cabernet Sauvignon 2014 ,0.816326531
Klein Constantia Sauvignon Blanc 2016 ,1
Estancia Reserve Meritage Reserve Merlot 2013 ,0.814814815
Fullerton Wines Pinot Noir/Tand Mochine (375ML half-bottle) 2015 ,0.761061947
Sacred Hill Chardonnay 2016 ,0.964285714
Swerch Vineyards Estate Pinot Noir 2016 ,0.85
Stolpman Vineyards Hillt Pinot Noir 2017 ,0.820512821
Chateau Belgrave 2015 ,1
Poema Cava Brut 2014 ,0.864864865
Bouchard Perer White Blend 2015 ,0.678571429
Weingut Hills Reserve Pinot Noir 2016 ,0.826666667
Bodegas Tradicion Oakville Cabernet Franc 2015 ,0.769230769
Chateau des Jugues Premier Cru 2015 ,0.717391304
Val de Meursault Chinon 2016 ,0.642857143
No Curfew by Amici Cabernet Sauvignon 2016 ,0.976744186
Bindi Winegrowers Envesport Cuvee Chardonnay 2015 ,0.729166667
Badia a Coltibuono Cetamura Pinot Noir 2012 ,0.870588235
Cirleg Los Cantourie du Pere White Blend 2017 ,0.635294118
Carro Tinto 2014 ,0.941176471
Cass Winery Backbone Syrah 2016 ,0.96875
Bacon Central Coast Reserve Cabernet Sauvignon 2015 ,0.815533981
Joseph Drouhin Pouilly-Fuisse 2013 ,0.971428571
Bouchard Aine &amp; Fils Fourchaume Premier Cru Les Loups 2011 ,0.850393701
Leese-Fitch Merlot 2016 ,1
Grgich Hills Estate Merlot (375ML half-bottle) 2008 ,0.961538462
Love Noir Pinot Noir 2016 ,1
Banfarelli Chianti Classico 2015 ,0.885245902
Domaine Jean Grivot Nuits-St.-Georges Aux Chaignots Premier Cru 2013 ,0.926470588
I Failloux Chablis Butteaux Premier Cru 2016 ,0.817204301
Michrelton Village Sauvignon Blanc 2017 ,0.816901408
Finca Antigua Albarino 2016 ,0.847457627
Frescobaldi Castiglioni San Lorenzo 2015 ,0.794871795
Villa Creek Cabernet Sauvignon 2015 ,0.906666667
Kinsella Estates The Habitat Ringle Blanc 2016 ,0.65060241
Bouchard Aine &amp; Fils Puligny-Montrachet 2015 ,0.979591837
Clos du Bois Chardonnay 2016 ,1
Clos Bellane Paul Man Villages 2014 ,0.712328767
Cedar + Salma Rim Red Blend 2012 ,0.676923077
Bodegas Ontanon Pedro Ximenez (500ML) ,0.75
Mullinery Beaujolais Blanc 2013 ,0.746666667
Maume by Cakebard Russian River Pinot Noir 2016 ,0.833333333
Rusack Santa Barbara Chardonnay 2015 ,1
Chateau Pape Clement 2004 ,0.961538462
Continuum 2006 ,1
Produttori del Puerto Gonzallo Fino del Primaro Rosso di Montepulciano 2017 ,0.682926829
Chateau Branaire-Ducru 2009 ,1
Chateau Olivier (Futures Pre-Sale) 2016 ,1
Chateau Fombrauge Blanc (Futures Pre-Sale) 2016 ,0.933333333
Morgan Double L Vineyard Chardonnay (375ML half-bottle) 2014 ,0.784313725
Cass Winery &amp; Browne Beaujolais Reserve 2015 ,0.626262626
Denis Mortet Gevrey-Chambertin Mes Cinq Terroirs 2016 ,1
Champauvinna Chianti Rufina Riserva 2012 ,0.717391304
Bodegas y Vinedos Ilurce Rio Madre Tempranillo 2015 ,1
Castello Romito Cabernet Franc 2016 ,0.805970149
Chateau Pichon-Longueville Baron (Futures Pre-Sale) 2016 ,1
Idl Creek Santenay Clos des Chenes Premier Cru 2015 ,0.730769231
Hacienda Monasterio Ribera del Duero 2014 ,0.976190476
Forman Cabernet Sauvignon 2014 ,0.967741935
Selby Chenin Blanc 2013 ,0.791666667
Domaine des Roses Madeira ,0.642857143
Domaine Jean Grivot Nuits-St.-Georges Aux Thorey Premier Cru 2016 ,0.902255639
Blandy's Bual Stiraz 2015 ,0.68852459
Wild Horse Merlot 2016 ,0.956521739
Cataldi Madonna Palladie Blanc 2014 ,0.657142857
Marques de Riscal Ribera del Duero 2016 ,0.727272727
Harlow Riserva 2013 ,0.714285714
Logio Cuvbieri Pic St. Loup Leflaive Meursault Genera 2013 ,0.637362637
Ruinard Beautieres de Nimes Red Blend 2015 ,0.642857143
Gilgen Alleir Cavageous 2009 ,0.541666667
Schramsberg Blanc de Blancs 2008 ,0.939393939
William Cole Albamar Chardonnay 2014 ,0.972972973
Bavita Martha Reserve Chardonnay 2014 ,0.816901408
The Dreaming Tree Chardonnay 2015 ,1
Innocent Bystander Central Coast Retro Merlot 2012 ,0.72
Ken Forrester Old Vine Reserve Chardonnay 2017 ,0.854166667
St. Francis Reserve Chardonnay 2016 ,0.823529412
Banshee Morey-Saint-Denis 2013 ,0.8
CasaSmith Porto Verdot 2013 ,0.703703704
Luc Belaire Ranch Sangiovese 2007 ,0.678571429
Schrader CCS Beckstoffer et Chardonnay 2015 ,0.725490196
Booker Vineyard Hers Vermentino 2017 ,0.818181818
Sandhi Latrie Revoluzzo 2015 ,0.633333333
Melville Extra Dry ,0.65
Replica Pickelle Reserve Red 2010 ,0.647058824
Cave Classico Chardonnay 2017 ,0.819672131
Faustino VII Tempranillo 2017 ,0.966666667
Sine Qua Non Ox Pinot Noir 2015 ,0.90625
Consilience Conection Roussanne (Tonnell Amacia 2014 ,0.65
Parusso Dolcetto d'Alba Piani Nobles Ladge with Gift Box ,0.721649485
Murman Chardonnay ,0.755555556
Barone Ricasoli Chianti 2016 ,1
Chateau Duhart-Milon 2009 ,0.961538462
Bond Vecina 2001 ,0.941176471
Silvio Grasso Turre 2000 ,0.771929825
MasseT Gravenstein Hert Dautiere Albert Co. 1996 ,0.494117647
Au Bon Climat Santa Barbara Chardonnay 2016 ,1
Gilgal Cabernet Sauvignon 2014 ,1
Bodegas Raul Perez Ultrepo Cava Brut ,0.782608696
Marketto Chianti Classico Riserva di Famiglia Blanco 2014 ,0.822429907
Rivay Zinfandel 2016 ,0.80952381
Lo-Fi Wines Coquelicot Riesling (375ML half-bottle) 2017 ,0.765957447
Four Graces Pinot Blanc 2017 ,1
Conceito Cantabria Rosa Moscato d'Astioni Herminia Dry Cruffing Hent Hill Cabernet Sauvignon 2012 ,0.55483871
Dobles Tempranillo 2013 ,0.791666667
Robert Cantin Four Figellen Springs Vineyard Hollow Chardonnay 2016 ,0.7
Bliody Clos Gu 2011 ,0.628571429
Olivier Leflaive Bourgogne Vieilles Vignes Pinot Noir 2015 ,0.817391304
Amici Napa Valley Merlot 2017 ,0.813559322
Burgo Viejo Rioja Crianza 2015 ,1
Jeff Cohn Cellars Cuvee Hermitage 2015 ,0.779220779
Domaine Zafeirakis in Gift Box (1.5 Liter Magnum) 2012 ,0.703703704
Frescobaldi Pinot Grigio 2017 ,0.807017544
Silverado Miller Ranch Zinfandel 2014 ,0.780487805
Balbocillo California Chardonnay 2017 ,0.833333333
Belle Glos Clark with Gift Box ,0.65625
Murman Cabernet Sauvignon 2016 ,0.903225806
Pepperwood Grove Pinot Noir 2014 ,0.918032787
Fat Louise Cotes de Provence Churchill Pinot Noir 2016 ,0.648148148
Jules Taylor Gruner Veltliner 2014 ,0.971428571
Banfi Rosa Regale Brezux 2003 ,0.793650794
Domaine de la Vougeraie Clos de la Roche Grand Cru 2000 ,0.864864865
Andre Bois 2014 ,0.685714286
Domaine Ragot Chateauneuf-du-Pape Blanc 2012 ,0.85106383
Jean-Louis Chave Selection Shenah 2009 ,0.755555556
Nicolas Pullus Pinot Gris 2016 ,0.736842105
Mount Eden Vineyards Estate Zinfandel 2010 ,0.804597701
Pride Mountain Vineyards Reserve Claret 2000 ,1
Poliziano Vino Nobile di Montepulciano 2015 ,1
Fulieno San-Juliette Merlot 2013 ,0.84375
Santa Cristina by Antinori Bianco 2016 ,0.974358974
Cartlidge &amp; Godiva Chocolates Gift Set ,0.791208791
Beringer Smiler Specialle 202 2014 ,0.5625
Campos de Risca Monastrell 2014 ,1
Val de Mer by Patrick Piuze Brut ,1
Lillet Choee (1.5 Liter Magnum) 2013 ,0.788732394
Brooks Pinot Bianco 2014 ,0.897959184
Poema Cava Brut Rose ,1
Belle Glos Classico Tesiro Chianti Classico 2015 ,0.708860759
Peju Province Pinot Grigio 2017 ,0.779661017
Vaughn Duffy Syrah 2013 ,0.958333333
Alban Forsythe Vineyard Grenache 2014 ,0.735632184
Domaine Glinavos Vlahiko 2017 ,0.966666667
Boundary Briccini Sonoma Zinfandel 2016 ,0.757575758
Hitching Post Perigee 2012 ,0.771929825
Robert Craig Cellars Affinity Cabernet Sauvignon (3 Liter Bottle) 2016 ,0.875
Belle Glos Clous 2016 ,0.666666667
Heitz Cellar Mays Family Vineyard Singing Estate Pinot Noir 2015 ,0.691588785
Cloudy Bay Sauvignon Blanc 2017 ,0.96875
Cep Pealist Pinot Noir 2016 ,0.8
Blackbird Vineyards Lindsay Pais Red 2010 ,0.717948718
Laughaume Rosso Rosso 2015 ,0.631578947
Longboard Russian River Pinot Noir 2015 ,1
Cellar Pinol Portal Blanco 2017 ,0.96875
Cristom Estate Syrah 2016 ,0.961538462
Joseph Drouhin Hospices Sauvignon Blanc 2017 ,0.8
Chateau Quinault l'Enclos 2014 ,0.740740741
Capiaux Cellars Chocolate Bench Blend Coppolate Block Sheep Mills Viognier 2016 ,0.5
Emilio Moro Malleolus de Valderramigna 2009 ,0.896551724
Cinnabach's Rose 2017 ,0.736842105
Centora Boss Garnacha Vinas Viejas 2013 ,0.805194805
Chateau Montcetton Clos de Meursault Clos du Crominia 2015 ,0.693069307
Elizabeth Rose Cabernet Sauvignon 2015 ,0.849315068
Bodegas Lan Rioja Crianza 2015 ,1
Cayuse God Only Knows Ancaya Cabernet Sauvignon 2013 ,0.707070707
Giovanni Rosso Conca Brunello di Montalcino (1.5 Liter Magnum) 2008 ,0.832
Bodegas Lan Rioja Jacques Prumiere Muscadet Alexander Valley Estate Chardonnay 2013 ,0.640625
Ca' Rugard Rose 2008 ,0.702702703
Chateau de Campuget La Grande Reserve Chardonnay 2014 ,0.74
Donnafugata di Arca del Demi Carolo (1.5 Liter Magnum) 2014 ,0.698113208
Domaine de la Janasse Cotes du Rhone Villages Plan de Bodegas Ducru 2000 ,0.762589928
Canoe Ripassou Q Lou Chardonnay Vieilles Vignes 2015 ,0.730434783
Tablas Creek Esprit de Tablas Blanc 2017 ,0.975609756
Pikes Pinot Noir 2015 ,0.88372093
Jim Barry Tupeyret Nuits-St.-Georges 2000 ,0.65
Chateau Pape Clement de Blancs 2013 ,0.911764706
Gold Steep Finds Holus Columbia 2014 ,0.717948718
Bellus Giraso Arinzand Les Beaune Blanc 2016 ,0.622641509
Felsina Fontalloro Chianti Classico 2015 ,0.80952381
Rustic Wine Cellars Craftsman's Conn Valley Vineyards Cabernet Sauvignon 2016 ,0.768115942
Walnut Block Wines Big Sky Te Muna Cabernet Sauvignon 2014 ,0.701030928
Renwood Winery The Cleaver Red Blend 2014 ,0.976190476
Corison Cabernet Sauvignon (1.5 Liter Magnum) 2004 ,0.980392157
Robert Catcher Harmony Decanter ,0.641509434
Scribe Cortese 2014 ,0.682926829
Patrick Piuze Chablis 2017 ,0.782608696
Beringer Private Reserve ,0.757575758
Assobiot Malbec 2016 ,0.789473684
Seghesio Costiera White Port ,0.862068966
Hertelendy Cabernet Sauvignon 2014 ,1
Easton The Ban Xinor Proprietary Red (1.5 Liter Magnum) 2016 ,0.704761905
Rubishou Chateauneuf-du-Pape Cuvee Chaupin 2015 ,0.752293578
Dark Horse Cabernet Sauvignon (1.5 Liter Magnum) 2014 ,0.895238095
Bosiolo Castelle Inspade Red 2013 ,0.647058824
Stolpman Vineyards Love Yountain Merlot 2015 ,0.75862069
Arianna Odge 2017 ,0.648648649
Brozzic Salinia Pasada Julia Brut Rose ,0.68852459
Domaine Font-Marsanne Cotes du Rhone Villages Rouge 2015 ,0.747826087
Au Bon Climat Isabello 2012 ,0.805970149
Hermann J. Wiemell'soup Pinot Noir 2015 ,0.6875
Sloan 2000 ,1
Bond Viccolo Chinon 2008 ,0.714285714
Piper-Helena Ladger Vineyard Syrah Exposition Xinomavro 2016 ,0.595041322
Donati Family Vineyards Originals Cabernet Sauvignon 2015 ,0.886792453
Whetta Malbec 2015 ,0.769230769
Ken Wright Cellars Toum Reds Wines Chardonnay 2017 ,0.674698795
Averaen Nysa Vineyard Chardonnay 2015 ,0.805555556
Chateau Ducru-Beaucaillou Bandol 2015 ,0.898550725
Fleur du Cote Blanc de Blancs Brut ,0.810810811
Duval-Leroy Blanc de Noirs ,0.75
The White Knight Chardonnay 2017 ,0.766666667
Chateau Pegau Cotes du Rhone 2014 ,0.821917808
Chateau Lilian Ladouys 2013 ,1
Campos de Luz Neile 41 Fome Chardonnay 2015 ,0.676056338
Auspiri Sauvignon Blanc 2017 ,0.877192982
Chateau de Cerons 2000 ,0.956521739
Oxford Louise Chardonnay 2015 ,0.819672131
Vinaceous Red Rincon Riesling Kabinett 2016 ,0.693333333
90+ Point Napa Valley Wine Gift Set ,0.985915493
Burgle Vineyards Petite Sirah 2016 ,0.882352941
Hook and Ladder Chardonnay 2016 ,0.96875
Verdad Sawyer Lindquist Vineyard Tempranillo 2014 ,1
Calcu Cabernet Franc 2015 ,0.961538462
Peju Province Cabernet Franc 2014 ,0.970588235
Moddesse Becco Romansile 2015 ,0.666666667
Silverado Cabernet Franc 2014 ,0.84375
Mountain Vineyards Colon Vineyard Cabernet Sauvignon 2005 ,0.786885246
Dow's Vintage Port 2015 ,0.958333333
Canalicchio di Sopra Reserva 2006 ,0.65060241
Chavy-Celeins Clos du Roy 2015 ,0.785714286
Castello Rosso di Montalcino 2015 ,0.861538462
Robert Sinskey Abregoerieusse Premier Cru 2013 ,0.64
Domaine de la Taille Aux Loups Pinot Noir 2009 ,0.755555556
Louis Believer Alta 2013 ,0.620689655
Clos LaChance Collia Viontasiato 2016 ,0.771428571
Banrock Estate Chardonnay 2017 ,0.888888889
Monte Antico Supremus 2013 ,1
Victorine de Chastenay Crémant de Bourgogne Blanc de Blancs ,0.844036697
Point Cabernet Sauvignon 2014 ,0.9
Hitching Post Pinks Rose 2016 ,0.966666667
Joseph Drouhin Cote de Beaune Villages 2015 ,0.977272727
Jorge Ordonez Pinot Noir 2017 ,0.784313725
Regis Charmel 2014 ,0.7
Caparzo Brunello di Montalcino Riserva 2011 ,0.977272727
Illahe Vineyards and Winery Viognier 2017 ,1
Domaine de Terme Villages Vieilles Vignes 2017 ,0.787234043
Mount Eden Vineyards Estate Cabernet Sauvignon Rose 2017 ,0.935779817
Dow's Trademardi Chianti Classico Effee 2011 ,0.684210526
Perrier-Jouet Grand Brut ,1
Guillaume Gillmor Cabernet Sauvignon 2003 ,0.75862069
J Vineyards California Chardonnay 2016 ,1
Bolla Rosa Chardonnay 2016 ,0.84
Hickinbotham Broken Chardonnay 2015 ,0.73015873
Ryme Weeks Vineyard Cabernet Sauvignon 2012 ,0.88172043
Bodegas Revoluti Douro White Label Sur Lie 2008 ,0.55
Ceretto Bentoni Brunello di Montalcino 2009 ,0.781609195
Quinta de Val Rose 2016 ,0.75862069
Dugat-Pylioue Freres Tino La Lore 2009 ,0.542857143
Colgin IX Estate Syrah 2006 ,1
Cayuse Bionic Froutsel White 2016 ,0.75
Rock &amp; Vine Chardonnay 2014 ,0.794871795
Petrolo Insocer Sparkling Pinot Noir 2014 ,0.684931507
Seghesio Sonoma Zinterome Chardonnay 2014 ,0.716049383
Revolution Winery Cabernet Sauvignon 2016 ,0.87804878
Chateau Branaire-Ducru 2003 ,1
Chateau Pontet-Canet (1.5 Liter Futures Pre-Sale) 2017 ,1
Juve Y Camps Gregueres 2009 ,0.71875
Chateau Mouton Rothschild 2010 ,0.967741935
Peter Matribu Cabernet Sauvignon 2016 ,0.876712329
Colgin IX Estate Red 2016 ,0.961538462
Clos Pegase Mitsuko's Vineyard Chardonnay 2011 ,0.978723404
Bodegas Monteanne Sonoma Coast Pinot Noir 2016 ,0.827586207
Madai Origen Leap Cabernet Sauvignon 2014 ,0.8
Mettler Family Vineyards Merlot 2015 ,0.821917808
Chateau Hosanna 2010 ,0.952380952
Paul Hobbs Beckstoffer To Kalon Cabernet Sauvignon 2014 ,0.909090909
Nickel &amp; Nickel Hayne Cabernet Sauvignon Grand Vin 2007 ,0.872727273
Domenico Clerc Meursault Clos Du Valch Fino Sherry ,0.621359223
Noble Vines 337 Lodi Cabernet Sauvignon 2015 ,0.977777778
Meiomi Sparkling ,1
EOS Petite Sirah 2016 ,1
Evodia Cornala Russian River Pinot Noir 2014 ,0.833333333
Cousino Macul Chardonnay 2012 ,0.966666667
Billaud-Simon Villages 2015 ,0.8
Chapelle St. Theodor Mondavi Marcaire Chateauneuf-du-Pape Cuvee Imperialeo 2016 ,0.737588652
Roberts Coast Reserve Chardonnay 2014 ,0.886075949
Kalex Pinot Noir 2015 ,0.954545455
Lecheneaut Nuits-Saint-Georges Premier Cru 2016 ,0.862385321
Kale Haut Louise Chardonnay 2016 ,0.774193548
Sierra Cantabria Reserva Unda Cava Brut 2013 ,0.839506173
Lecon Placida 2013 ,0.631578947
Anthill Farms Campbell Ranch Vineyard Pinot Noir 2000 ,0.962962963
Au Bon Harin Pinot Noir 2015 ,0.785714286
Vinum Cellars Cheval Sauvignon Blanc 2017 ,0.810810811
Chasseur Cedarg Pinot Noir 2016 ,0.8125
Lucas &amp; Lewellen Zinfandel 2016 ,0.794520548
Mount Eden Vineyards Estate Chardonnay 2013 ,0.977272727
Xalumba El Cortol Chateauneuf-du-Pape Cuvee Vieilles Vignes 2013 ,0.752
Banfi Brunello di Montalcino Riserva 2009 ,0.870588235
Domaine Fernand &amp; Laurent Pillot Chateauneuf-du-Pape Blanc 2014 ,0.763358779
Cypress Chardonnay 2017 ,1
Huia Black Ridge Rose 2017 ,0.716981132
Bodegas Lan Graham Sonoma Coast Pinot Noir 2013 ,0.847826087
Cellar No. 8 Pinot Noir 2016 ,0.965517241
Columbia Crest Grand Estates Cabernet Sauvignon 2014 ,1
Fowles Wine Fleat Western Estate Single Vineyard Pinot Noir 2012 ,0.743362832
Robert Soniche Hope Ost-Intrigen St. Laurent 2013 ,0.838709677
Chateau Cote de Nuits Villages 2013 ,0.789473684
Ponzi Reserve Pinot Noir 2015 ,1
Berlucci Picassou Red Blend 2015 ,0.711864407
Saintsbury Toyon Farm Pinot Noir 2016 ,0.973684211
Domaine Faiveley Chassagne Montrachet 2016 ,0.976744186
Kooyong Farrago Chardonnay 2015 ,1
Chateau Mouton Rothschild 2009 ,1
Rubissow Merlot 2014 ,0.952380952
Lapostolle Clos Apriciera Lastello 2014 ,0.764705882
Round Pond Kith and Kin Cabernet Sauvignon 2016 ,0.979166667
Matteo Correggia Rosso di Montalcino 2014 ,0.784810127
Pepper Bridge Winery Merlot 2016 ,0.96969697
Futo Viedenne Seven Liers View Pinot Noir 2015 ,0.688172043
Elderton E Series Chardonnay 2013 ,0.970588235
Joseph Phelps Freestone Vineyards Rose of Pinot Noir 2017 ,0.859504132
Piper-Heidsieck Cuvee Brut 2006 ,0.915254237
Aig White Riesling 2016 ,0.8
Rustic Wine Cellars Paras Vineyard Pinot Noir 2013 ,0.787878788
Olexander Valley Vineyards Temptation Zinfandel 2014 ,0.962264151
Bila-Haut by Michel Chapoutier Cotes du Rhone Rose 2007 ,0.905982906
A.P. Chanson Les Pendams 2014 ,0.646153846
Ludd Hillside Select Cabernet Sauvignon (3 Liter Bottle) 2014 ,0.78125
Chateau des Anaillero del Duero 2016 ,0.709677419
Elizancia Gialla 2013 ,0.651162791
Chateau des Mille Aux Chainty Pinot Noir 2015 ,0.682926829
Chateau Montrose (Futures Pre-Sale) 2016 ,1
Caturelil Port (500ML) 2014 ,0.591549296
Big Basin Monterey Pinot Noir 2001 ,0.971428571
El Enemigo Mendoza Estate Grown Cabernet Sauvignon 2013 ,0.761904762
Villadoria Il Nass'Vencolas Reserve La Mesena Vineyard Cabernet Sauvignon 2007 ,0.65648855
Kracher Trights Cabernet Sauvignon 2014 ,0.821917808
Domaine Lafage Cuvee Generator 2016 ,0.784810127
Sokol Blosser Brut Prosecco ,0.736842105
Colgin IX Estate Reserve 2012 ,0.892857143
Gregory Graham Magma Rose 2016 ,0.918032787
Philippe Colin Bourgogne Rouge Cuvee de Noble Souche 2015 ,0.807017544
Krug Vintage Brut 2006 ,0.956521739
Rhys Vineyards Horseshoe Vineyard Pinot Noir 2016 ,0.98
Bodegas Muga Cava Grace Barbreche 1998 ,0.657894737
Jeff Cohn Cellars Haut Lount Cosme De Neguille 2014 ,0.623655914
Wirra Wirra Chardonnay 2015 ,0.821428571
Domaine de Bois Zinfandel 2016 ,0.813559322
Ruinart Brut Rose Reserve ,0.823529412
Aloxe Cotes du Jura Chardonnay 2013 ,0.8
Chateau de Blancs 2012 ,0.823529412
Condado de Haldiga Reserva Malbec 2012 ,0.732394366
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2012 ,1
Columbia Crest Grand Estates Merlot 2010 ,0.975609756
Black Cabra Chardonnay 2015 ,0.964285714
Paul Dolan Vineyards Zinfandel 2015 ,1
Chalk Hill Central Coast Red Blend 2015 ,0.752941176
Slo Sear Old Sercial Madeira (500ML) ,0.829268293
Colgin IX Estate Syrah 2017 ,0.964285714
Enkidu E Cabernet Sauvignon 2014 ,0.96969697
Jules Taylor Cabernet Sauvignon 2017 ,0.828571429
Buttonwood Farm Chardonnay 2016 ,0.771929825
Manoir du Carra Beaujolais Villages 2017 ,0.975609756
Montinorg Cabernet Sauvignon 2005 ,0.875
Bouzuca Noente Cisance Reserve 2015 ,0.64516129
Cakebread Cabernet Sauvignon 2014 ,0.970588235
Rudi Pichles Blanc de Blancs ,0.745098039
Joseph Jewell Grist Vineyard Cabernet Sauvignon 2016 ,0.822429907
Chateau Clinet (1.5 Liter Magnum) 2014 ,0.948717949
Frank Family Vineyards Reserve Cabernet Sauvignon 2015 ,0.981818182
LaRue Rice Santa Caterina Vineyard Chardonnay 2016 ,0.736842105
Chamonix Reserve Cabernet Sauvignon 2016 ,0.886075949
Murphy-Goode Alexander Valley Cabernet Sauvignon 2012 ,0.981481481
Trustor Estate Reserve Sauvignon Blanc 2014 ,0.847826087
Girl &amp; Dragon Pinot Noir 2014 ,0.857142857
Luc Cold Crintage Red Blend 2015 ,0.75
Colosi Rosso Serral 2014 ,0.784313725
Giornata Arkeminer Alteogere Syrah 2016 ,0.597402597
Cline &amp; Mounir Blanc Le Jose 2013 ,0.625
Robert Oatley McMarnoc-ausel Grenache 2009 ,0.634146341
Clos Lignier Rose 2016 ,0.8
Rochioli Rubento Premiere Cuvee (375ML half-bottle) 2014 ,0.696428571
Chateau Belgrave (1.5 Liter Magnum) 2009 ,0.951219512
Perliss Torres Les Charmes Combe 43 Fites Coctorset-les-Beaune 2013 ,0.504201681
Poco a Poco Russian River Chardonnay 2015 ,0.825
Famille Perrin Cotes du Rhone St. Esprit Rouge 2014 ,0.823529412
Red Car Aloxe Corton Pere &amp; Fils Gevrey-Chambertin 2014 ,0.759259259
Point Ormond Moscato d'Asti 2017 ,0.786885246
Groundwork Syrah 2015 ,1
William Knuttel Fino Sherry ,0.733333333
